termino,equivalencia,polaridad,categoria,ejemplo_1,ejemplo_2,ejemplo_3,notas
misio,"sin dinero, en mala situación económica",NEGATIVE,situación económica,"Estoy bien misio este mes, no puedo salir.","No puedo comprarlo, estoy misio.",Siempre está misio pero igual gasta.,"Describe estado temporal. Neutro en tono descriptivo, negativo en queja."
sapo,"entrometido, chismoso, delator",NEGATIVE,personalidad negativa,"No le cuentes nada, es bien sapo.",El sapo ese fue y contó todo a la jefa.,Odio a los sapos en el trabajo.,Siempre peyorativo en este uso. No confundir con el animal.
cargoso,"molesto, insistente, pesado",NEGATIVE,personalidad negativa,"Ese cliente es bien cargoso, llama a cada rato.","No seas cargoso, ya te dije que no.","Su jefe es un cargoso, siempre está encima.","Muy frecuente. Puede intensificarse: 'bien cargoso', 'súper cargoso'."
maleta,"inútil, incapaz, que no rinde",NEGATIVE,habilidad negativa,"Ese técnico es un maleta, no arregló nada.","No lo pongas de titular, es un maleta.","Me salió maleta el proveedor, hay que cambiarlo.",Se usa para personas principalmente. Fuerte carga despectiva.
feo,"malo, grave, inaceptable (no físico)",NEGATIVE,valoración negativa,"Eso está feo, no debería pasar.","Qué feo te trató, eso no se hace.",El ambiente está feo en esa empresa.,En este uso NO se refiere al aspecto físico. Indica situación grave o trato injusto.
pesado,"fastidioso, molesto, insoportable",NEGATIVE,personalidad negativa,"Es un pesado, siempre quejándose de todo.",Qué pesado ese proceso de atención.,Me cae pesado ese gerente.,Compartido con España y Latinoamérica. Muy común en Perú.
chancho,"sucio, descuidado, de mala presentación",NEGATIVE,calidad/higiene,"Ese local está chancho, no vuelvo.","Come bien chancho, no tiene modales.","Qué chancho ese baño, dan ganas de salir corriendo.",En uso no literal. 'Chancho' como adjetivo = sucio/descuidado.
de mala,"con mala suerte, situación desafortunada",NEGATIVE,suerte/circunstancia,De mala que llovió justo hoy.,Me fue de mala en el examen.,Siempre le va de mala en los negocios.,Puede ser NEUTRAL si solo describe mala suerte sin queja emocional.
tronado,"loco, fuera de sí, irracional",NEGATIVE,estado mental,"Ese tipo está tronado, no le hagas caso.","Qué propuesta más tronada, nadie la va a aprobar.",Se tronó con la presión del trabajo.,Puede ser despectivo o descriptivo. Contexto define intensidad.
dar cólera,"dar rabia, indignar, molestar profundamente",NEGATIVE,emoción negativa,Me da cólera que siempre lleguen tarde.,Esa noticia me dio cólera todo el día.,Le da cólera que no lo tomen en cuenta.,'Cólera' como sustantivo = rabia intensa. Muy peruano.
estar en llanta,"estar sin dinero, en quiebra",NEGATIVE,situación económica,"Este mes estoy en llanta, no me alcanza nada.",Después de las fiestas quedé en llanta.,"La empresa está en llanta, van a cerrar.",Similar a 'misio' pero con mayor intensidad. Más formal en uso.
tela,"mucho, bastante, en gran cantidad",NEUTRAL,intensificador,Hay tela de gente en el centro hoy.,Tiene tela de trabajo acumulado.,Costó tela de plata ese viaje.,Intensificador neutro. La polaridad la da el contexto del sustantivo.
causa,"amigo, pata (forma de llamar a alguien)",NEUTRAL,relaciones sociales,"Oye causa, ¿tienes un rato?",¿Qué tal causa? ¿Cómo te fue?,"Causa, te llamo luego.",Como vocativo es NEUTRAL. Con valoración explícita puede ser POSITIVE.
pata,"persona, tipo (sin connotación)",NEUTRAL,referencia a persona,¿Quién es ese pata del fondo?,Un pata me dijo que mañana no hay clase.,No sé qué pata hizo eso.,NEUTRAL cuando solo identifica a alguien sin valoración afectiva.
al toque,"de inmediato, enseguida, rápido",NEUTRAL,tiempo/velocidad,Me llamó al toque que llegó.,"Lo resolvieron al toque, sin demora.",Responde al toque los mensajes.,Puramente adverbial. Positivo si el contexto valora la rapidez.
pues,partícula enfática / marcador discursivo,NEUTRAL,marcador discursivo,"Ya pues, si tú lo dices.",¿Qué pasó pues?,"Anda pues, no seas así.","Marcador discursivo muy peruano. No aporta polaridad, pero marca registro informal."
pe,"pues (forma reducida, enfática)",NEUTRAL,marcador discursivo,"Ya pe, qué quieres que haga.",¿Qué fue pe?,"Hazlo pe, no te cuesta nada.",Apócope de 'pues'. Marca informalidad y registro oral.
ahorita,en un momento (tiempo impreciso),NEUTRAL,tiempo,Ahorita te atiendo.,"Ahorita llega, espera.","Ahorita lo hago, dame un segundo.",Tiempo indefinido. Puede implicar demora. Neutro en sí mismo.
hablar al chancho,"hablar mal de alguien, criticar a sus espaldas",NEGATIVE,comportamiento social negativo,Le hablan al chancho a su jefe todo el día.,No me gusta la gente que habla al chancho.,Se enteró que le hablaban al chancho en la oficina.,Expresión idiomática. Siempre negativa por el acto que describe.
estar en su salsa,"estar cómodo, disfrutar de algo",POSITIVE,estado emocional,"En esa reunión estaba en su salsa, hablando de lo que le gusta.","Cocinando está en su salsa, no lo pares.",Cuando habla de fútbol está en su salsa.,Compartido con español estándar pero muy usado en Perú.
hacer la vista gorda,"ignorar algo a propósito, tolerar algo incorrecto",NEGATIVE,comportamiento social,El supervisor hace la vista gorda con las tardanzas.,No podemos seguir haciendo la vista gorda con eso.,Siempre le hacen la vista gorda por ser amigo del jefe.,Negativo por implicación de complicidad o falta de integridad.
